maxdepth,elevation_m,lake_area_m2,B2,B3,B4,B5,B6,B7,B10,B11
2.7,295.855011,1149470.119,16597,16121,16394,18612,10161,9475,16645,16034
6.1,447.8349915,248658.9924,16579,16064.5,16735,14769,7555,7122.5,16327.5,15853.5
1.8,295.855011,754109.9948,16940,16517,17100,18278,7890,7446,16776,16226
5.2,4.256000042,92558.81001,8894,7476,6924,6214,5313,5240,21881,19937
3.4,13.65000057,139984.8119,8725,7383,6680,6530,5479,5368,21753,19916
13.7,219.8040009,802908.3446,10828,9783,9822,10751,6424,5884,17784,16890
12.5,27.25000191,240288.843,8760,7399,6633,6157,5300,5176,21398,20016
12.2,69.58300018,186313.3911,16711,16163,17168.5,18874.5,9013,8504,15750.5,15183.5
10.7,69.58300018,1128263.549,14815,13904,13490.5,14791.5,8546.5,8038,16323,15777
1.5,34.31000137,246009.8013,9531,8073,7285,7552,6082,5970,18269,17427
18.3,41.76359558,544462.0614,8956,7606.5,6878,6530,5708,5471,20406,19206.5
13.4,4.159999847,133931.0912,9148,7689,6978,6632,5990,5766,20511,19364
5.5,46.26800156,486593.1511,8841.5,7481,6594,6115.5,5459,5313.5,19973.5,18735
1.8,33.81084824,202149.6146,9274,8481,7365,11301,6317,5980,22375,20625
6.1,19.37000084,348095.9191,8944,7455,6812,7187,5982,5510,18582,17783
9.4,7.870000362,1403624.213,9044,7704,6903,6410,5794,5632,20499,19282
9.1,52.76200104,218951.4501,9537,8722,8618.5,13225,10185.5,8105.5,20816,18644
10.1,18.10000038,356998.3021,8764,7639,6783,6373,5592,5422,20450,19364
9.8,101.288002,2264837.814,11361.5,9983.5,9608,10315.5,6189,5939,18102,16827
19.2,9.670000076,559675.4832,9080,8162,7422,7287,6357,5738,21184,19944
1.8,34.27799988,292313.7606,12843.5,11837.5,11602.5,10441,5743,5540.5,18616,17177.5
12.2,12.25599957,436354.2676,9115,8021,7169,7007,5938,5646,21705,19756
12.8,277.4160156,786733.4507,16990,15818,16219,12570,7288,7164,17785,17225
16.2,18.25200081,270074.1136,9001,7704,6720.5,6623.5,5368.5,5230,20349.5,18292.5
13.7,102.262001,307829.841,10233,8746,7793,8844,5735,5689,19341,18147
20.1,9.380000114,2953398.673,9095,7737,6800,6631,6082,5865,20193,19060
6.4,36.77799988,310820.2723,9397,7949,7223,7123,5683.5,5465,18427.5,17558
4,15.5199995,989314.6024,8691,7229,6662,6049,5334,5232,20764,19500
2.4,428.3510132,321907.4486,15771.5,14228.5,14517.5,16267,7405,7130,14803.5,14636.5
3.7,182.8040009,2199926.467,12639.5,11403,10904,12083,6619,6462.5,17944.5,17034.5
9.4,295.269989,391902.2212,11036,9773,9258,9489,6918,6522,19043,18022
9.1,17.92000008,1074165.56,8593,7150.5,6473.5,6171.5,5430.5,5289,20125.5,18058
6.7,62.57900238,112355.4081,13950,13402.5,13044.5,14837.5,7298.5,7147.5,17751.5,16406
10.4,60.16500092,957951.9552,9363,8291,7365.5,7324.5,5765,5509.5,20608,19410.5
1.8,29.06999969,365493.3284,9118,8034,7176,6533,5446,5292,21004,19723
24.4,109.3030014,1622010.738,10243.5,9367.5,9238,12424.5,10221,8501.5,19986,18613
2.7,515.8590088,241270.6459,15860,14261,13899,15958,7072,7166,14667,14296
21.9,182.8040009,900916.8146,10966,10071,10045.5,10790,6658.5,6235,18576,17571
5.8,411.8505859,325605.725,9757,8752.5,8648.5,16056.5,10244.5,7445.5,16696,16097.5
3.6576,3.421000004,305432.6557,10532,9681,9326,9547,6515,6093,19679,18443
24.384,347.8919983,1002709.565,10555.5,9550.5,9301,10123,6767,6192.5,18707.5,17793
11.8872,122.2870026,471745.4159,9760,9008,7804,7327,5636,5410,20809,19381
4.8768,478.3340149,73714.70721,11081.5,10008,9273.5,10749.5,6629.5,6451.5,19324.5,18017.5
6.096,15.49400043,895729.6647,10546,9544,9210,9993,7490,7203,18392,17450
3.6576,5.743999958,54724.37537,9510.5,8778,8222,16720,10831.5,8765,23582,21196
3.048,24.63400078,35245.37028,8894,7466,6883,6920,6065,5603,21599,20299
2,328.7749939,9149659.584,10895.5,9933.5,9263.5,9432,6736,6704.5,17168,16567.5
5.5,468.7139893,756827.7218,12145.5,11275.5,11319,13154,7942.5,7760,16545.5,15673.5
9.4,342.9179993,2555632.799,9159,8423.5,7522,7558,6550,6199.5,20554,19315.5
12.2,242.1653137,265179.6576,12298,11903,11128,13457,7605,7226,21119,19783
18.3,295.1529846,897702.1644,13382,12436,12288,13492,6972,7114,15173,14387
9.4,163.1663818,75169.12653,9530.5,8853.5,7837.5,17350,12071.5,8025.5,23740.5,21658.5
4,472.9450073,451935.2048,11348,11302,10473,18012,12105,8548,19251,17129
46,338.0670166,185225508.5,11771,10724.5,10977.5,12130.5,7977,7067.5,17105,16085
1.02,376.3299561,2467419.647,12325.5,11156,10416,14220,6868.5,6613,17830,16591
4,278.9509888,559687.7128,13941,13137.5,12620,12814.5,7460,7181.5,18983.5,17679
27,292.1019897,2913260.981,12477,11473.5,11572.5,12894,6619,6533.5,17682.5,16898.5
5,387.8317566,1955312.549,13750,14111,13481,16264,6491,6459,19032,17316
5.9,28.84700012,5010790.46,15412,14961,15880,19579,11285,8432,17357,16391
2,275.2610779,159414.4971,10801,9871.5,9620,14333.5,9564.5,7486.5,14382.5,14157.5
11,375.7680054,675708.7378,10006,9220,8492,15003,9852,7909,14401,14177
1,425.0570068,444788.7701,12303.5,11509,11792.5,13841.5,8325,7641.5,14324.5,14037.5
16,398.6399841,239425.2084,11184,10158,10313,11520,7541,7303,15767,15269
3.5,375.5980225,1672262.089,10003,8986,8301,14903,9048,7417,20275,19187
5,349.0700073,1443986.942,11152,10007,9389,9480,6525,6434,17628,17185
5,143.1439972,390056.5567,16214,15136.5,15375,18382.5,10911,10602,13818,13612.5
2,563.1459961,75645.79067,14946,14100,14637.5,15725.5,8286.5,8209,14371,14000.5
2,501.9559937,852412.5935,10288,9486.5,8673,8281,5966,5836,19137,18132.5
51.5,360.5669861,57339975.93,10868,9983,9978,14843,10166,7922,14312,14102
9.39,268.8379822,6037290.948,13981,12542,12711.5,12584.5,6899,7078,16375,15932.5
4,245.4580078,385741.1619,11470,10825,10810,12310.5,7837,7563,18932.5,17776.5
5,511.6570129,188377.8749,13429,12507.5,12449,14950,7343,7146,14094,13906
6.7,325.8849792,1383417.549,15914,14791,15309,16923,7414,7423,17284,16421
2,409.4250183,459508.7672,13241.5,12282.5,12662.5,14031.5,6898.5,6930,17310,16418
4,336.0100098,2845835.657,12272,10668.5,10279,10250.5,6865,6495.5,17661.5,16789.5
15,442.5139771,4225462.536,16139,15278.5,16134,17302.5,8072,7853,14693.5,14338.5
20,342.4709778,11910263.14,9977,8879,8221,8752.5,6639,6630,17639.5,16745.5
2,789.0119629,73967.71933,18415,17059,17722,18993,8619,8356,17232,16465
4,716.2030029,41625.12984,19740,18440,18633,22107,9431,9108,16512,16026
8,416.9750061,370855.2601,14648,13813,14782,16116,7796,7754,13780,13816
14.9352,226.8400726,584034.9489,12424.5,11195.5,11016,20854.5,11916.5,8828.5,19515.5,18555
5,268.8379822,909616.2769,14470,13613,14133,16681,7190,7442,17268,16675
5.182,273.1900024,173120.0041,15172,13868,14516,15107,7753,7036,16194,15824
40,421.4130249,7844282.928,10493.5,9496.5,8923.5,13290,7865,6938,14255.5,14020.5
14,458.9300232,2580208.272,15227,14155,15006,15766,8573,8654,13846,13603
5,415.4309998,323782.9555,13156,12288.5,12158,14232,7752,7679,16248,15434
3.6,330.7779846,783064.1869,9460,8994,8781,14169,10782,8361,21111,20070
22.63,291.1740112,198452.8359,13143,11276,10726,12710,6787,6944,14590,13507
4,415.7309875,73108.50358,12748,11949,12062.5,13438,7691.5,7946.5,15614,15069.5
4,453.7799988,938295.7159,10375,9455,8561,9608,6361,6211,18069,16996
1,333.0029907,2778762.971,12542,11218,11098,19221,10960,8392,17352,16751
5,388.8460083,434043.962,13268,12936,12973,13927,7542,7724,14025,13907
8,426.6650085,1382562.475,10877,10037,10101,13195,8951,7771,13645,13629
4.3,706.1196289,69954.60941,19604.5,19161,19911.5,18174.5,8063.5,7663.5,15852,15423.5
6,459.1329956,1368457.325,14543,13790.5,14455,15655.5,7416,6965.5,12571.5,12197.5
3,394.6700134,261395.333,14026,12832.5,12720.5,13833,7347.5,6969.5,14691,14352.5
1,251.8560028,203394.0774,10129,9373,8983,11142.5,7846.5,6722.5,20498.5,19201
16.166,285.0550537,34876.89177,10654,9566,9271,10782,7114,6797,21138,19416
2.1,306.3260193,3358574.33,9463.5,8789,8176,8105.5,6251.5,6049.5,20082,19058.5
3,205.7440033,219104.1261,13125,11939,11777,14562,8702,7401.5,17801,16929.5
17,447.321991,3594655.193,12410,11101,11128,13188,7919,7908,15752,15105
8,408.6399841,1269883.124,12296,11268,11536,13131,7453,7364,15078,14825
3,300.2698669,446188.6901,11365,10791,10505,11204,6887,6826,18274,17374
2,206.3989868,659352.2228,13499.5,11854,11377,14495.5,6919.5,7091.5,18255,17575
7,285.0549927,207365.3774,11201,9940,9978,11153,6883,6958,20504,18708
2.44,403.1390076,664558.1567,15226.5,14483.5,14918.5,15953,7849,7146.5,16825,15951.5
5.5,266.7530212,107045.6082,11845,10856,10669.5,10964,6701,6503,19846.5,18902
22,397.6640015,328960.8556,17826,17119.5,17234.5,21557.5,9794,9418.5,15876.5,15050.5
2,340.0130005,415679.5395,16348,15009,15836,16627,7815,7283,15305,14802
4.4,265.9393311,54089.33746,10935,10254,9770,12868,7748.5,7033.5,19072,18034
12,907.8939819,113658.8947,20352,18997,18309,20361,9468,8485,17994,16394
14,455.5830078,3027348.529,15406.5,13842,13409.5,14866.5,7863.5,8122.5,18038,16999
97,28.83799934,1134964045,17173,15650,15590.5,14400.5,9488.5,8399,16616.5,16098
8,397.3800049,66528.77193,15316,14469,15580,15818,7371,7444,13202,13137
